id,source,store,name,price,storage,cp_value,link
DYAJDP-A900JHPC9,PChome,PChome 24h,【Ａ++級福利品】iPhone 15 Pro Max 1TB,29990,1024,341.45,https://24h.pchome.com.tw/prod/DYAJDP-A900JHPC9
DYAX17-A900J3ZSB,PChome,PChome 24h,【福利品】Apple iPhone 15 Pro Max (1TB),30500,1024,335.74,https://24h.pchome.com.tw/prod/DYAX17-A900J3ZSB
https://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone15-Pro-Max-512G-6-7吋-智慧型手機-贈原廠快充頭-11339326.html,BigGo,Yahoo購物中心,【福利品】Apple iPhone15 Pro Max 512G 6.7吋 智慧型手機 贈快充組、保護組,24888,512,205.72,https://biggo.com.twhttps://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone15-Pro-Max-512G-6-7吋-智慧型手機-贈原廠快充頭-11339326.html
DYAJDP-A900JOMEH,PChome,PChome 24h,【Ａ++級福利品】iPhone 15 Pro Max 512GB 白色鈦金屬,25700,512,199.22,https://24h.pchome.com.tw/prod/DYAJDP-A900JOMEH
DYAJDP-A900JOMFE,PChome,PChome 24h,【Ａ++級福利品】iPhone 15 Pro Max 512GB 原色鈦金屬,25700,512,199.22,https://24h.pchome.com.tw/prod/DYAJDP-A900JOMFE
DYAJDP-A900JHPZR,PChome,PChome 24h,【Ａ++級福利品】iPhone 15 Pro Max 512GB,25700,512,199.22,https://24h.pchome.com.tw/prod/DYAJDP-A900JHPZR
DYAJKN-A900JNMKI,PChome,PChome 24h,【A++級福利品】iPhone 15 Pro Max 512G 外觀近全新 鈦原色,25880,512,197.84,https://24h.pchome.com.tw/prod/DYAJKN-A900JNMKI
DYAJDP-A900JI0SA,PChome,PChome 24h,iPhone 15 Pro Max 512G 贈充電殼貼組 保固6個月 福利品,25990,512,197.0,https://24h.pchome.com.tw/prod/DYAJDP-A900JI0SA
DYAJDP-A900JOMEP,PChome,PChome 24h,【Ａ++級福利品】iPhone 15 Pro Max 512GB 藍色鈦金屬,26000,512,196.92,https://24h.pchome.com.tw/prod/DYAJDP-A900JOMEP
DYAJDO-A900JSGK7,PChome,PChome 24h,【福利品】Apple iPhone 15 Pro Max (512GB) 原色鈦金屬,26500,512,193.21,https://24h.pchome.com.tw/prod/DYAJDO-A900JSGK7
DYAJDO-A900JPHX1,PChome,PChome 24h,【福利品】Apple iPhone 15 Pro Max (512GB) 黑色鈦金屬,26500,512,193.21,https://24h.pchome.com.tw/prod/DYAJDO-A900JPHX1
DYAJDP-A900JWMAK,PChome,PChome 24h,【超值福利品 】iPhone 15 Pro Max 256G 隨機顏色,19990,256,128.06,https://24h.pchome.com.tw/prod/DYAJDP-A900JWMAK
DYAJDP-A900JU5GC,PChome,PChome 24h,【福利品】iPhone 15 Pro Max 256G 白色鈦金屬 台灣公司貨 6.7吋,22780,256,112.38,https://24h.pchome.com.tw/prod/DYAJDP-A900JU5GC
DYAJDP-A900JP92O,PChome,PChome 24h,【B+福利品】Apple iPhone 15 Pro Max 256G 原色鈦金屬,22888,256,111.85,https://24h.pchome.com.tw/prod/DYAJDP-A900JP92O
https://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone15-Pro-Max-256G-6-7吋-智慧型手機-贈原廠快充頭-11059532.html,BigGo,Yahoo購物中心,【福利品】Apple iPhone15 Pro Max 256G 6.7吋 智慧型手機 贈保護貼殼組、快充組,22888,256,111.85,https://biggo.com.twhttps://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone15-Pro-Max-256G-6-7吋-智慧型手機-贈原廠快充頭-11059532.html
DYAJDO-A900JSGKE,PChome,PChome 24h,【福利品】Apple iPhone 15 Pro Max (256GB) 藍色鈦金屬,22900,256,111.79,https://24h.pchome.com.tw/prod/DYAJDO-A900JSGKE
DYAJDP-A900JIZDT,PChome,PChome 24h,【A級福利品】iPhone 15 Pro Max 256G,22900,256,111.79,https://24h.pchome.com.tw/prod/DYAJDP-A900JIZDT
DYAJDP-A900JI10N,PChome,PChome 24h,iPhone 15 Pro Max 256G 贈充電殼貼組 保固6個月 福利品,22990,256,111.35,https://24h.pchome.com.tw/prod/DYAJDP-A900JI10N
DYAJDP-A900JMYX9,PChome,PChome 24h,【A++級福利品】iPhone 15 Pro Max 256GB 藍色鈦金屬 (贈三豪禮),23690,256,108.06,https://24h.pchome.com.tw/prod/DYAJDP-A900JMYX9
DYAJDP-A900JMYWT,PChome,PChome 24h,【A++級福利品】iPhone 15 Pro Max 256GB 白色鈦金屬(贈三豪禮),23690,256,108.06,https://24h.pchome.com.tw/prod/DYAJDP-A900JMYWT
DYAJDO-A900JPHVV,PChome,PChome 24h,【福利品】Apple iPhone 15 Pro Max (256GB) 原色鈦金屬,24500,256,104.49,https://24h.pchome.com.tw/prod/DYAJDO-A900JPHVV
