rank,title,price,storage_gb,cp_value,link
1,【福利品】 iPhone 11 Pro Max 256GB,8500,256,301.18,https://24h.pchome.com.tw/prod/DYAJDS-A900J0YDR
2,【福利品】 iPhone 13 Pro 256GB,13490,256,189.77,https://24h.pchome.com.tw/prod/DYAJ86-A900HL35L
